Entity,Code,Year,hyg_bas,hyg_lim,hyg_nfac
Costa Rica,CRI,2017,85.20069233,9.676089556,5.1232181
Costa Rica,CRI,2018,85.43706018,9.609744544,4.9531951
Costa Rica,CRI,2019,85.67551599,9.54377574,4.7807083
,,,,,
Cote d'Ivoire,CIV,2015,18.29404111,36.89011946,44.815838
Cote d'Ivoire,CIV,2016,18.95106215,36.96196805,44.086971
Cote d'Ivoire,CIV,2017,19.61229506,37.00378333,43.383923
Cote d'Ivoire,CIV,2018,20.27781047,37.01477663,42.707413
Cote d'Ivoire,CIV,2019,20.94748305,36.99437848,42.05814
,,,,,
Cuba,CUB,2015,86.35379316,9.589067338,4.0571394
Cuba,CUB,2016,87.52248504,9.109833429,3.3676815
Cuba,CUB,2017,88.69194904,8.629207517,2.6788435
Cuba,CUB,2018,89.86191555,8.146817027,1.9912674
Cuba,CUB,2019,91.0320026,7.662362217,1.3056352
,,,,,
Democratic Republic of Congo,COD,2015,18.73850726,38.45019563,42.811298
Democratic Republic of Congo,COD,2016,18.82347672,38.44267337,42.733849
Democratic Republic of Congo,COD,2017,18.90934425,38.43507057,42.655586
Democratic Republic of Congo,COD,2018,18.99626091,38.42737488,42.576363
Democratic Republic of Congo,COD,2019,19.08407735,38.41959952,42.496323
,,,,,
Dominican Republic,DOM,2015,46.23030964,13.75551803,40.014172
Dominican Republic,DOM,2016,46.37735116,13.764797,39.857853
Dominican Republic,DOM,2017,46.51949403,13.77376708,39.706738
Dominican Republic,DOM,2018,46.65420021,13.78226811,39.56353
Dominican Republic,DOM,2019,46.78163814,13.79031035,39.428051
,,,,,
Ecuador,ECU,2015,87.07118848,9.508474293,3.4203372
Ecuador,ECU,2016,87.08956529,9.494132878,3.4163017
Ecuador,ECU,2017,87.10794194,9.479791589,3.4122665
Ecuador,ECU,2018,87.12834609,9.463868017,3.4077859
Ecuador,ECU,2019,87.15064079,9.446469049,3.4028902
,,,,,
Egypt,EGY,2015,88.34419643,10.76288424,0.8929193
Egypt,EGY,2016,89.8283413,9.502749402,0.66890931
Egypt,EGY,2017,89.82696928,9.504544074,0.66848665
Egypt,EGY,2018,89.8269186,9.504610361,0.66847104
Egypt,EGY,2019,89.82823984,9.502882116,0.66887802
,,,,,
El Salvador,SLV,2015,90.55681448,6.723475491,2.7197101
El Salvador,SLV,2016,90.6060424,6.685867449,2.7080901
El Salvador,SLV,2017,90.65361489,6.649527021,2.6968582
El Salvador,SLV,2018,90.69958038,6.614407056,2.6860125
Equatorial Guinea,GNQ,2015,24.22103831,22.32682696,53.452133
Eswatini,SWZ,2015,24.04000626,31.4334124,44.526581
Eswatini,SWZ,2016,24.08948897,31.42313245,44.487377
Eswatini,SWZ,2017,24.14114975,31.41239903,44.446453
Eswatini,SWZ,2018,24.19530217,31.40114995,44.403549
Eswatini,SWZ,2019,24.25194298,31.38938292,44.358673
,,,,,
Ethiopia,ETH,2015,7.822892938,53.53039472,38.646713
Ethiopia,ETH,2016,7.890476218,53.56288094,38.546642
Ethiopia,ETH,2017,7.958985824,53.5958153,38.445198
Ethiopia,ETH,2018,8.0288839,53.62941617,38.341702
Ethiopia,ETH,2019,8.100170589,53.66368456,38.236145
,,,,,
Fragile or Extremely Fragile,,2015,43.16436429,34.00555512,22.83008053
Fragile or Extremely Fragile,,2016,44.22087002,33.60185591,22.17727378
Fragile or Extremely Fragile,,2017,45.03174941,33.03868763,21.92956315
Fragile or Extremely Fragile,,2018,46.59184676,32.21525341,21.19289986
Fragile or Extremely Fragile,,2019,47.35548124,31.63454923,21.00996897
,,,,,
Gambia,GMB,2015,17.85795476,74.28637278,7.8556724
Gambia,GMB,2016,17.85397831,74.26536808,7.8806534
Gambia,GMB,2017,17.85005323,74.24463531,7.9053116
Gambia,GMB,2018,17.84618582,74.22420713,7.9296069
Gambia,GMB,2019,17.84237698,74.20408725,7.9535356
,,,,,
Georgia,GEO,2015,91.55351025,7.010615761,1.435874
Georgia,GEO,2016,91.58134122,6.983728495,1.4349303
Georgia,GEO,2017,91.60953607,6.956495504,1.4339684
Georgia,GEO,2018,91.63822553,6.928778875,1.4329956
Georgia,GEO,2019,91.66734211,6.90064669,1.4320112
,,,,,
Ghana,GHA,2015,41.16291515,36.75063721,22.086447
Ghana,GHA,2016,41.23998554,36.71391636,22.046099
Ghana,GHA,2017,41.31647473,36.67747243,22.006052
Ghana,GHA,2018,41.39238218,36.64130567,21.966312
Ghana,GHA,2019,41.46759304,36.6054708,21.926937
,,,,,
Guatemala,GTM,2015,76.57123693,20.8416608,2.5871022
Guatemala,GTM,2016,76.61750568,20.79669293,2.5858014
Guatemala,GTM,2017,76.66550342,20.7500447,2.5844519
Guatemala,GTM,2018,76.71523013,20.7017161,2.5830538
Guatemala,GTM,2019,76.76641791,20.65196751,2.5816145
Guinea,GIN,2015,20.12898537,51.41314346,28.45787
Guinea,GIN,2016,20.19300119,51.36662605,28.440372
Guinea,GIN,2017,20.25982591,51.31806902,28.422106
Guinea,GIN,2018,20.32946144,51.26746956,28.403069
Guinea,GIN,2019,20.40170471,51.21497523,28.38332
,,,,,
Guinea-Bissau,GNB,2015,10.48919031,7.608131937,81.902679
Guinea-Bissau,GNB,2016,12.00661921,8.661229282,79.332153
Guinea-Bissau,GNB,2017,13.5278609,9.714833324,76.757309
Guinea-Bissau,GNB,2018,15.05301696,10.76896814,74.178017
Guinea-Bissau,GNB,2019,16.58205044,11.82361882,71.59433
,,,,,
Guyana,GUY,2015,77.42170773,10.81572099,11.762571
Guyana,GUY,2016,77.42059225,10.81455062,11.764857
Guyana,GUY,2017,77.41906727,10.81295198,11.767981
Guyana,GUY,2018,77.41722039,10.81101146,11.771769
Haiti,HTI,2015,23.43182144,53.76887388,22.799305
Haiti,HTI,2016,23.15103937,57.5238977,19.325064
Haiti,HTI,2017,22.86274663,61.28883943,15.848414
Haiti,HTI,2018,22.56721565,65.06339532,12.369389
Haiti,HTI,2019,22.26459142,68.84730896,8.8880997
,,,,,
Honduras,HND,2015,84.12470061,10.13875382,5.7365456
Honduras,HND,2016,84.16925289,10.08208573,5.7486615
India,IND,2015,67.31037222,29.93238997,2.7572379
India,IND,2016,67.40056273,29.84876488,2.7506723
India,IND,2017,67.49364379,29.76245522,2.743901
India,IND,2018,67.58940082,29.67366865,2.7369306
India,IND,2019,67.68782584,29.58240185,2.7297723
,,,,,
Indonesia,IDN,2015,83.95799441,5.987892102,10.054113
Indonesia,IDN,2016,86.53271571,6.053439946,7.4138441
Indonesia,IDN,2017,89.07706113,6.11893116,4.8040075
Indonesia,IDN,2018,91.59156142,6.184273299,2.2241652
Indonesia,IDN,2019,94.0763809,5.923619104,0
,,,,,
Iraq,IRQ,2015,93.87822742,3.330869785,2.7909029
Iraq,IRQ,2016,94.59059173,3.243679972,2.1657283
Iraq,IRQ,2017,95.29827903,3.156920143,1.5448009
Iraq,IRQ,2018,96.00079022,3.07066352,0.92854625
Iraq,IRQ,2019,96.69759436,2.985008784,0.31739685
,,,,,
Jamaica,JAM,2015,66.64750314,16.08297016,17.269527
Kazakhstan,KAZ,2015,99.00810484,0.754856443,0.23703872
Kazakhstan,KAZ,2016,99.00846278,0.7547007,0.23683652
Kazakhstan,KAZ,2017,99.00881855,0.7545471,0.23663436
Kazakhstan,KAZ,2018,99.00927575,0.754350861,0.23637339
Kazakhstan,KAZ,2019,99.00982907,0.754111942,0.23605898
,,,,,
Kenya,KEN,2015,26.54038864,33.14663132,40.312981
Kenya,KEN,2016,26.58161381,33.17203042,40.246357
Kenya,KEN,2017,26.62376287,33.19799972,40.178238
Kenya,KEN,2018,26.66692495,33.22459214,40.108482
Kenya,KEN,2019,26.71091571,33.25169418,40.037392
,,,,,
Kiribati,KIR,2015,55.28268327,30.68735042,14.029966
Kiribati,KIR,2016,55.34387269,30.66878078,13.987347
Kiribati,KIR,2017,55.40366278,30.65063582,13.945702
Kiribati,KIR,2018,55.46220123,30.6328707,13.904928
Kiribati,KIR,2019,55.51948574,30.61548458,13.865029
,,,,,
Kyrgyzstan,KGZ,2015,91.78814268,7.055884667,1.1559726
Kyrgyzstan,KGZ,2016,93.41736805,5.754841841,0.82779008
Kyrgyzstan,KGZ,2017,95.04364662,4.456174921,0.50017846
Kyrgyzstan,KGZ,2018,96.66621724,3.160516179,0.17326659
Kyrgyzstan,KGZ,2019,98.2842637,1.711518413,0.004217882
,,,,,
Landlocked Developing Countries,,2015,34.67968186,37.15678564,28.16353259
Landlocked Developing Countries,,2016,34.87522949,37.08009218,28.04467737
Landlocked Developing Countries,,2017,34.63860124,37.22510892,28.1362892
Landlocked Developing Countries,,2018,34.84175535,37.04532683,28.11291755
Landlocked Developing Countries,,2019,34.93751291,36.86726222,28.1952253
,,,,,
Laos,LAO,2015,54.74684109,35.21280411,10.040355
Laos,LAO,2016,54.92112484,35.05765239,10.021223
Laos,LAO,2017,55.09651516,34.90150956,10.001975
Laos,LAO,2018,55.27301635,34.74438079,9.9826031
Laos,LAO,2019,55.45090443,34.58601448,9.9630814
,,,,,
Least Developed Countries,,2015,32.13447987,38.90233416,28.96318594
Least Developed Countries,,2016,33.18120355,38.70032814,28.11846818
Least Developed Countries,,2017,33.84588202,38.21782056,27.93629668
Least Developed Countries,,2018,35.79376958,37.29456701,26.91166328
Least Developed Countries,,2019,36.39713948,36.78659068,26.8162698
,,,,,
Lesotho,LSO,2015,5.367010635,43.23417208,51.398819
Lesotho,LSO,2016,5.394622899,43.2254805,51.379898
Lesotho,LSO,2017,5.422505633,43.21670644,51.360786
Lesotho,LSO,2018,5.451063276,43.20771865,51.341217
Lesotho,LSO,2019,5.480228556,43.19853962,51.321232
,,,,,
Liberia,LBR,2015,1.178284036,1.414615865,97.407097
Liberia,LBR,2016,1.183329933,1.41516004,97.401512
Liberia,LBR,2017,1.188480463,1.415715498,97.395805
Low income,,2015,27.5166063,38.79401846,33.68937509
Low income,,2016,28.24564975,39.2250162,32.52933312
Low income,,2017,28.41196502,39.17714046,32.41089422
Low income,,2018,30.61727386,38.42597229,30.95675353
Low income,,2019,30.77872465,38.28868268,30.93259277
,,,,,
Lower-middle income,,2015,62.86449435,28.23913697,8.896368628
Lower-middle income,,2016,63.40679665,27.80898853,8.784216178
Lower-middle income,,2017,63.51582922,27.75426138,8.729909548
Lower-middle income,,2018,63.99132028,27.37078713,8.637893688
Lower-middle income,,2019,64.45684007,26.99282697,8.550331523
,,,,,
Madagascar,MDG,2015,25.57542294,43.95050967,30.474068
Madagascar,MDG,2016,25.78740796,43.84804188,30.36455
Madagascar,MDG,2017,25.99297481,43.75088065,30.256145
Madagascar,MDG,2018,26.19207649,43.65906259,30.148861
Madagascar,MDG,2019,26.38428919,43.57267677,30.043034
,,,,,
Malawi,MWI,2015,9.657584637,75.30235401,15.040061
Malawi,MWI,2016,9.181753065,75.41725325,15.400993
Malawi,MWI,2017,8.703955742,75.53612144,15.759923
Malawi,MWI,2018,8.223824519,75.6593817,16.116795
Malawi,MWI,2019,8.240656207,75.66674609,16.092598
,,,,,
Maldives,MDV,2015,95.78495882,1.792134399,2.4229069
Maldives,MDV,2016,95.79389871,1.79677818,2.4093232
Maldives,MDV,2017,95.80286292,1.801432985,2.395704
Maldives,MDV,2018,95.81186919,1.806109626,2.3820212
Maldives,MDV,2019,95.82091748,1.810808086,2.3682745
,,,,,
Mali,MLI,2015,16.32036872,53.63670563,30.042925
Mali,MLI,2016,16.46296063,53.48203468,30.055004
Mali,MLI,2017,16.60501226,53.32794977,30.067038
Mali,MLI,2018,16.74616454,53.17484222,30.078993
Mali,MLI,2019,16.88659658,53.02251404,30.090889
,,,,,
Marshall Islands,MHL,2015,84.94544189,12.64983307,2.4047251
Marshall Islands,MHL,2016,84.97128769,12.63441227,2.3943
Marshall Islands,MHL,2017,84.99645195,12.61939811,2.38415
Marshall Islands,MHL,2018,85.02105792,12.60471705,2.3742251
Marshall Islands,MHL,2019,85.04498371,12.59044285,2.3645735
,,,,,
Mauritania,MRT,2015,51.69835288,28.19303909,20.108608
Mauritania,MRT,2016,51.96093878,28.14876135,19.890301
Mauritania,MRT,2017,52.22021748,28.10504127,19.674742
Mauritania,MRT,2018,52.47528189,28.0620308,19.462687
Mauritania,MRT,2019,52.72644032,28.019681,19.25388
Mexico,MEX,2015,89.75249473,7.286799166,2.960706
Mexico,MEX,2016,89.77550185,7.273039047,2.9514592
Mexico,MEX,2017,89.79834169,7.259372221,2.942286
Mexico,MEX,2018,89.82111114,7.245753241,2.9331355
Mexico,MEX,2019,89.84379235,7.232180452,2.9240272
Moldova,MDA,2015,86.97708528,6.546954115,6.4759607
Moldova,MDA,2016,86.97941484,6.545469366,6.4751158
Mongolia,MNG,2015,76.3043804,11.99799168,11.697628
Mongolia,MNG,2016,78.32172959,13.47761933,8.2006512
Mongolia,MNG,2017,80.33472787,14.95549908,4.7097731
Mongolia,MNG,2018,82.34581116,16.42962254,1.2245663
Mongolia,MNG,2019,84.35348203,15.64651797,0
,,,,,
Montenegro,MNE,2015,99.24297352,0.44619826,0.31082821
Montenegro,MNE,2016,99.24279885,0.445960952,0.3112402
Montenegro,MNE,2017,99.24262365,0.445722932,0.31165341
Montenegro,MNE,2018,99.24244605,0.445484906,0.31206906
Montenegro,MNE,2019,99.24227274,0.445246187,0.31248108
,,,,,
Mozambique,MOZ,2015,12.22698339,32.49125526,55.281761
Myanmar,MMR,2015,74.34905109,20.33165981,5.3192892
Myanmar,MMR,2016,74.37675033,20.31194844,5.3113012
Myanmar,MMR,2017,74.40642148,20.29082689,5.3027515
Myanmar,MMR,2018,74.43820253,20.26821172,5.2935858
Myanmar,MMR,2019,74.47195518,20.24418667,5.2838583
,,,,,
Namibia,NAM,2015,43.86454054,44.02595062,12.109509
Namibia,NAM,2016,44.23518973,43.71568808,12.049122
Namibia,NAM,2017,44.5999025,43.4103948,11.989702
Nepal,NPL,2015,55.31018802,43.67318522,1.0166267
Nepal,NPL,2016,56.69775967,42.1963584,1.1058819
Nepal,NPL,2017,58.07524086,40.73005065,1.1947085
Nepal,NPL,2018,59.44240709,39.27450421,1.2830887
Nepal,NPL,2019,60.79861327,37.830381,1.3710058
,,,,,
Niger,NER,2015,17.98640113,58.93382202,23.079777
Niger,NER,2016,19.08133442,57.64242103,23.276245
Niger,NER,2017,20.17914189,56.35310408,23.467754
Niger,NER,2018,21.2791514,55.06668142,23.654167
Niger,NER,2019,22.38148248,53.78409672,23.834421
,,,,,
Nigeria,NGA,2015,32.54770168,36.80584574,30.646452
Nigeria,NGA,2016,32.68097266,36.72985717,30.58917
Nigeria,NGA,2017,32.81282331,36.65467845,30.532497
Nigeria,NGA,2018,32.9429398,36.5804885,30.476572
Nigeria,NGA,2019,33.07116236,36.50737844,30.421459
,,,,,
Niue,NIU,2015,,,19.066668
Niue,NIU,2016,,,19.633333
Niue,NIU,2017,,,20.200001
Niue,NIU,2018,,,20.766666
Niue,NIU,2019,,,21.333334
,,,,,
North Korea,PRK,2015,,,0
North Korea,PRK,2016,,,0
North Korea,PRK,2017,,,0
North Korea,PRK,2018,,,0
North Korea,PRK,2019,,,0
,,,,,
North Macedonia,MKD,2015,99.67510782,0.162306422,0.16258577
North Macedonia,MKD,2016,99.67490262,0.162408864,0.16268851
North Macedonia,MKD,2017,99.67465771,0.162531134,0.16281115
North Macedonia,MKD,2018,99.67437018,0.162673224,0.1629566
North Macedonia,MKD,2019,99.67404876,0.162835151,0.16311608
,,,,,
Oceania,,2015,35.93124949,29.18677227,34.88197729
Oceania,,2016,35.9035537,29.18877773,34.90766958
Oceania,,2017,35.88336532,29.18954069,34.92709394
Oceania,,2018,36.15822053,28.80423125,35.03754928
Oceania,,2019,36.15367648,28.80090432,35.04541728
,,,,,
Oman,OMN,2015,97.4,,
Oman,OMN,2016,97.4,,
Oman,OMN,2017,97.4,,
Oman,OMN,2018,97.4,,
Oman,OMN,2019,97.4,,
,,,,,
Pakistan,PAK,2015,64.31381152,29.14515367,6.5410347
Pakistan,PAK,2016,67.48635617,26.8598503,5.6537933
Pakistan,PAK,2017,70.64573818,24.58452117,4.7697406
Pakistan,PAK,2018,73.79560573,22.31581014,3.8885841
Pakistan,PAK,2019,76.93463978,20.05468621,3.010674
,,,,,
Palestine,PSE,2016,92.05191721,6.763520071,1.1845627
Palestine,PSE,2017,92.0528203,6.766987558,1.1801921
Palestine,PSE,2018,92.05374421,6.770507788,1.175748
Palestine,PSE,2019,92.05468397,6.774105861,1.1712102
,,,,,
Papua New Guinea,PNG,2015,29.64027846,29.32051223,41.039207
Papua New Guinea,PNG,2016,29.65462732,29.31910723,41.026264
Papua New Guinea,PNG,2017,29.67426076,29.317183,41.008556
Papua New Guinea,PNG,2018,29.6995586,29.31470468,40.985737
Papua New Guinea,PNG,2019,29.73014088,29.31170676,40.958153
,,,,,
Paraguay,PRY,2015,79.96503026,17.71825529,2.3167145
Paraguay,PRY,2016,80.00124909,17.6833755,2.3153753
Paraguay,PRY,2017,80.03719885,17.64874805,2.3140531
Paraguay,PRY,2018,80.07459873,17.61273068,2.3126707
Paraguay,PRY,2019,80.11317065,17.57557456,2.3112547
,,,,,
Philippines,PHL,2015,81.63653602,11.64895474,6.714509
Philippines,PHL,2016,81.6494406,11.64477502,6.7057843
Philippines,PHL,2017,81.66342606,11.64024522,6.6963286
Philippines,PHL,2018,81.67862742,11.63532159,6.6860509
Philippines,PHL,2019,81.6949777,11.63002583,6.6749964
,,,,,
Rwanda,RWA,2015,4.226063445,8.78522257,86.988716
Rwanda,RWA,2016,4.420659722,9.249335217,86.330002
Rwanda,RWA,2017,4.617278477,9.71281804,85.669907
Rwanda,RWA,2018,4.6264149,9.710824426,85.662758
Rwanda,RWA,2019,4.63725129,9.708460543,85.654289
,,,,,
Saint Lucia,LCA,2015,87.33132969,7.441362462,5.2273078
Saint Lucia,LCA,2016,87.33165219,7.441258916,5.2270889
Samoa,WSM,2016,78.8,,
Samoa,WSM,2017,78.8,,
Samoa,WSM,2018,78.8,,
Samoa,WSM,2019,78.8,,
,,,,,
Sao Tome and Principe,STP,2015,43.92118736,14.18169334,41.897118
Sao Tome and Principe,STP,2016,46.08937224,14.6770674,39.233559
Sao Tome and Principe,STP,2017,48.3302743,15.16935483,36.50037
Sao Tome and Principe,STP,2018,50.63887159,15.65884522,33.702282
Sao Tome and Principe,STP,2019,53.01031148,16.14581988,30.843868
,,,,,
Senegal,SEN,2015,21.46146529,21.36806697,57.170467
Senegal,SEN,2016,21.56707573,21.37683051,57.056095
Senegal,SEN,2017,21.67512072,21.38579606,56.939083
Senegal,SEN,2018,21.78511215,21.39492313,56.819965
Senegal,SEN,2019,21.89729313,21.40423189,56.698475
,,,,,
Sierra Leone,SLE,2015,15.68935129,28.02729338,56.283356
Sierra Leone,SLE,2016,16.78538948,25.32032886,57.894283
Sierra Leone,SLE,2017,17.87440154,22.61974555,59.505852
Sierra Leone,SLE,2018,18.95626353,19.9257723,61.117966
Sierra Leone,SLE,2019,20.03059654,17.23865949,62.730743
,,,,,
Small Island Developing States,,2015,53.11520848,23.53780592,23.34698527
Small Island Developing States,,2016,51.63585908,25.36345533,23.00068552
Small Island Developing States,,2017,51.50131542,26.51245098,21.98623307
Small Island Developing States,,2018,51.72974257,27.24105843,21.02919961
Small Island Developing States,,2019,51.65308803,28.09585308,20.25105805
,,,,,
Solomon Islands,SLB,2015,37.85448372,34.00952508,28.135992
Solomon Islands,SLB,2016,38.05017222,33.87759399,28.072233
Solomon Islands,SLB,2017,38.24586126,33.74566252,28.008476
Solomon Islands,SLB,2018,38.44154833,33.613731,27.944721
Solomon Islands,SLB,2019,38.63639304,33.48237017,27.881237
Somalia,SOM,2015,24.5729029,54.45977899,20.967318
Somalia,SOM,2016,24.64635826,54.45021996,20.903421
Somalia,SOM,2017,24.72032862,54.44059391,20.839077
Somalia,SOM,2018,24.79494185,54.4308842,20.774174
Somalia,SOM,2019,24.86994107,54.42112426,20.708935
,,,,,
South Africa,ZAF,2015,43.73631354,43.77251242,12.491174
South Africa,ZAF,2016,43.86494561,43.68409624,12.450958
South Africa,ZAF,2017,43.99257483,43.59636938,12.411056
South Africa,ZAF,2018,44.11920031,43.50933245,12.371468
South Africa,ZAF,2019,44.24482361,43.42298437,12.332192
,,,,,
Sub-Saharan Africa,,2015,24.8480575,40.30847484,34.84346743
Sub-Saharan Africa,,2016,25.36020468,40.57021916,34.06957569
Sub-Saharan Africa,,2017,25.5557281,40.47906222,33.96520948
Sub-Saharan Africa,,2018,25.85685264,40.54527678,33.59787055
Sub-Saharan Africa,,2019,26.00796136,40.40317255,33.58886642
,,,,,
Sudan,SDN,2015,21.25483605,21.11595078,57.629211
Sudan,SDN,2016,19.50612704,22.86465979,57.629211
Sudan,SDN,2017,17.75741802,24.6133688,57.629211
Sudan,SDN,2018,16.00870901,26.36207781,57.629211
Sudan,SDN,2019,14.26,,
,,,,,
Suriname,SUR,2015,72.09625072,16.83754992,11.066199
Suriname,SUR,2016,72.09497686,16.83949319,11.06553
Suriname,SUR,2017,72.09506049,16.83937243,11.065567
Suriname,SUR,2018,72.09657093,16.83706491,11.066364
Suriname,SUR,2019,72.09935693,16.83281495,11.067828
,,,,,
Syria,SYR,2015,82.66836308,8.698063769,8.6335735
Syria,SYR,2016,82.69947126,8.693305699,8.6072235
Syria,SYR,2017,82.73048406,8.688561609,8.5809546
Syria,SYR,2018,82.76136143,8.683839451,8.5547991
Syria,SYR,2019,82.79209414,8.6791382,8.5287676
,,,,,
